"Town","FIPS","Year","Occupancy Status","Measure Type","Variable","Value"
"Farmington","0900327600","2013-2017","Vacant","Percent","Housing Units",5.43
"Farmington","0900327600","2013-2017","Vacant","Percent","Margins of Error",1.53
"Farmington","0900327600","2013-2017","Occupied","Number","Housing Units",10423
"Farmington","0900327600","2013-2017","Occupied","Number","Margins of Error",231
"Farmington","0900327600","2013-2017","Occupied","Percent","Housing Units",94.57
"Farmington","0900327600","2013-2017","Occupied","Percent","Margins of Error",2.93
"Farmington","0900327600","2014-2018","Total","Number","Housing Units",10935
"Farmington","0900327600","2014-2018","Total","Number","Margins of Error",259
"Farmington","0900327600","2014-2018","Vacant","Number","Housing Units",480
"Farmington","0900327600","2014-2018","Vacant","Number","Margins of Error",156
"Farmington","0900327600","2014-2018","Vacant","Percent","Housing Units",4.39
"Farmington","0900327600","2014-2018","Vacant","Percent","Margins of Error",1.43
"Farmington","0900327600","2014-2018","Occupied","Number","Housing Units",10455
"Farmington","0900327600","2014-2018","Occupied","Number","Margins of Error",248
"Farmington","0900327600","2014-2018","Occupied","Percent","Housing Units",95.61
"Farmington","0900327600","2014-2018","Occupied","Percent","Margins of Error",3.2
"Franklin","0901129910","2006-2010","Total","Number","Housing Units",780
"Franklin","0901129910","2006-2010","Total","Number","Margins of Error",58
"Franklin","0901129910","2006-2010","Vacant","Number","Housing Units",21
"Franklin","0901129910","2006-2010","Vacant","Number","Margins of Error",19
"Franklin","0901129910","2006-2010","Vacant","Percent","Housing Units",2.69
"Franklin","0901129910","2006-2010","Vacant","Percent","Margins of Error",2.44
"Franklin","0901129910","2006-2010","Occupied","Number","Housing Units",759
"Franklin","0901129910","2006-2010","Occupied","Number","Margins of Error",60
"Franklin","0901129910","2006-2010","Occupied","Percent","Housing Units",97.31
"Franklin","0901129910","2006-2010","Occupied","Percent","Margins of Error",10.56
"Franklin","0901129910","2007-2011","Total","Number","Housing Units",766
"Franklin","0901129910","2007-2011","Total","Number","Margins of Error",48
"Franklin","0901129910","2007-2011","Vacant","Number","Housing Units",17
"Franklin","0901129910","2007-2011","Vacant","Number","Margins of Error",18
"Franklin","0901129910","2007-2011","Vacant","Percent","Housing Units",2.22
"Franklin","0901129910","2007-2011","Vacant","Percent","Margins of Error",2.35
"Franklin","0901129910","2007-2011","Occupied","Number","Housing Units",749
"Franklin","0901129910","2007-2011","Occupied","Number","Margins of Error",49
"Franklin","0901129910","2007-2011","Occupied","Percent","Housing Units",97.78
"Franklin","0901129910","2007-2011","Occupied","Percent","Margins of Error",8.86
"Franklin","0901129910","2008-2012","Total","Number","Housing Units",775
"Franklin","0901129910","2008-2012","Total","Number","Margins of Error",54
"Franklin","0901129910","2008-2012","Vacant","Number","Housing Units",29
"Franklin","0901129910","2008-2012","Vacant","Number","Margins of Error",24
"Franklin","0901129910","2008-2012","Vacant","Percent","Housing Units",3.74
"Franklin","0901129910","2008-2012","Vacant","Percent","Margins of Error",3.11
"Franklin","0901129910","2008-2012","Occupied","Number","Housing Units",746
"Franklin","0901129910","2008-2012","Occupied","Number","Margins of Error",53
"Franklin","0901129910","2008-2012","Occupied","Percent","Housing Units",96.26
"Franklin","0901129910","2008-2012","Occupied","Percent","Margins of Error",9.58
"Franklin","0901129910","2009-2013","Total","Number","Housing Units",757
"Franklin","0901129910","2009-2013","Total","Number","Margins of Error",44
"Franklin","0901129910","2009-2013","Vacant","Number","Housing Units",29
"Franklin","0901129910","2009-2013","Vacant","Number","Margins of Error",24
"Franklin","0901129910","2009-2013","Vacant","Percent","Housing Units",3.83
"Franklin","0901129910","2009-2013","Vacant","Percent","Margins of Error",3.18
"Franklin","0901129910","2009-2013","Occupied","Number","Housing Units",728
"Franklin","0901129910","2009-2013","Occupied","Number","Margins of Error",42
"Franklin","0901129910","2009-2013","Occupied","Percent","Housing Units",96.17
"Franklin","0901129910","2009-2013","Occupied","Percent","Margins of Error",7.88
"Franklin","0901129910","2010-2014","Total","Number","Housing Units",782
"Franklin","0901129910","2010-2014","Total","Number","Margins of Error",39
"Franklin","0901129910","2010-2014","Vacant","Number","Housing Units",42
"Franklin","0901129910","2010-2014","Vacant","Number","Margins of Error",24
"Franklin","0901129910","2010-2014","Vacant","Percent","Housing Units",5.37
"Franklin","0901129910","2010-2014","Vacant","Percent","Margins of Error",3.08
"Franklin","0901129910","2010-2014","Occupied","Number","Housing Units",740
"Franklin","0901129910","2010-2014","Occupied","Number","Margins of Error",38
"Franklin","0901129910","2010-2014","Occupied","Percent","Housing Units",94.63
"Franklin","0901129910","2010-2014","Occupied","Percent","Margins of Error",6.77
"Franklin","0901129910","2011-2015","Total","Number","Housing Units",772
"Franklin","0901129910","2011-2015","Total","Number","Margins of Error",37
"Franklin","0901129910","2011-2015","Vacant","Number","Housing Units",62
"Franklin","0901129910","2011-2015","Vacant","Number","Margins of Error",34
"Franklin","0901129910","2011-2015","Vacant","Percent","Housing Units",8.03
"Franklin","0901129910","2011-2015","Vacant","Percent","Margins of Error",4.42
"Franklin","0901129910","2011-2015","Occupied","Number","Housing Units",710
"Franklin","0901129910","2011-2015","Occupied","Number","Margins of Error",41
"Franklin","0901129910","2011-2015","Occupied","Percent","Housing Units",91.97
"Franklin","0901129910","2011-2015","Occupied","Percent","Margins of Error",6.9
"Franklin","0901129910","2012-2016","Total","Number","Housing Units",780
"Franklin","0901129910","2012-2016","Total","Number","Margins of Error",47
"Franklin","0901129910","2012-2016","Vacant","Number","Housing Units",59
"Franklin","0901129910","2012-2016","Vacant","Number","Margins of Error",31
"Franklin","0901129910","2012-2016","Vacant","Percent","Housing Units",7.56
"Franklin","0901129910","2012-2016","Vacant","Percent","Margins of Error",4
"Franklin","0901129910","2012-2016","Occupied","Number","Housing Units",721
"Franklin","0901129910","2012-2016","Occupied","Number","Margins of Error",45
"Franklin","0901129910","2012-2016","Occupied","Percent","Housing Units",92.44
"Franklin","0901129910","2012-2016","Occupied","Percent","Margins of Error",8.02
"Franklin","0901129910","2013-2017","Total","Number","Housing Units",784
"Franklin","0901129910","2013-2017","Total","Number","Margins of Error",43
"Franklin","0901129910","2013-2017","Vacant","Number","Housing Units",61
"Franklin","0901129910","2013-2017","Vacant","Number","Margins of Error",32
"Franklin","0901129910","2013-2017","Vacant","Percent","Housing Units",7.78
"Franklin","0901129910","2013-2017","Vacant","Percent","Margins of Error",4.1
"Franklin","0901129910","2013-2017","Occupied","Number","Housing Units",723
"Franklin","0901129910","2013-2017","Occupied","Number","Margins of Error",42
"Franklin","0901129910","2013-2017","Occupied","Percent","Housing Units",92.22
"Franklin","0901129910","2013-2017","Occupied","Percent","Margins of Error",7.37
"Franklin","0901129910","2014-2018","Total","Number","Housing Units",781
"Franklin","0901129910","2014-2018","Total","Number","Margins of Error",42
"Franklin","0901129910","2014-2018","Vacant","Number","Housing Units",59
"Franklin","0901129910","2014-2018","Vacant","Number","Margins of Error",31
"Franklin","0901129910","2014-2018","Vacant","Percent","Housing Units",7.55
"Franklin","0901129910","2014-2018","Vacant","Percent","Margins of Error",3.99
"Franklin","0901129910","2014-2018","Occupied","Number","Housing Units",722
"Franklin","0901129910","2014-2018","Occupied","Number","Margins of Error",43
"Franklin","0901129910","2014-2018","Occupied","Percent","Housing Units",92.45
"Franklin","0901129910","2014-2018","Occupied","Percent","Margins of Error",7.42
"Glastonbury","0900331240","2006-2010","Total","Number","Housing Units",13421
"Glastonbury","0900331240","2006-2010","Total","Number","Margins of Error",306
"Glastonbury","0900331240","2006-2010","Vacant","Number","Housing Units",540
"Glastonbury","0900331240","2006-2010","Vacant","Number","Margins of Error",214
"Glastonbury","0900331240","2006-2010","Vacant","Percent","Housing Units",4.02
"Glastonbury","0900331240","2006-2010","Vacant","Percent","Margins of Error",1.6
"Glastonbury","0900331240","2006-2010","Occupied","Number","Housing Units",12881
"Glastonbury","0900331240","2006-2010","Occupied","Number","Margins of Error",280
"Glastonbury","0900331240","2006-2010","Occupied","Percent","Housing Units",95.98
"Glastonbury","0900331240","2006-2010","Occupied","Percent","Margins of Error",3.02
"Glastonbury","0900331240","2007-2011","Total","Number","Housing Units",13277
"Glastonbury","0900331240","2007-2011","Total","Number","Margins of Error",294
"Glastonbury","0900331240","2007-2011","Vacant","Number","Housing Units",508
"Glastonbury","0900331240","2007-2011","Vacant","Number","Margins of Error",208
"Glastonbury","0900331240","2007-2011","Vacant","Percent","Housing Units",3.83
"Glastonbury","0900331240","2007-2011","Vacant","Percent","Margins of Error",1.57
"Glastonbury","0900331240","2007-2011","Occupied","Number","Housing Units",12769
"Glastonbury","0900331240","2007-2011","Occupied","Number","Margins of Error",273
"Glastonbury","0900331240","2007-2011","Occupied","Percent","Housing Units",96.17
"Glastonbury","0900331240","2007-2011","Occupied","Percent","Margins of Error",2.96
"Glastonbury","0900331240","2008-2012","Total","Number","Housing Units",13428
"Glastonbury","0900331240","2008-2012","Total","Number","Margins of Error",299
"Glastonbury","0900331240","2008-2012","Vacant","Number","Housing Units",562
"Glastonbury","0900331240","2008-2012","Vacant","Number","Margins of Error",211
"Glastonbury","0900331240","2008-2012","Vacant","Percent","Housing Units",4.19
"Glastonbury","0900331240","2008-2012","Vacant","Percent","Margins of Error",1.57
"Glastonbury","0900331240","2008-2012","Occupied","Number","Housing Units",12866
"Glastonbury","0900331240","2008-2012","Occupied","Number","Margins of Error",313
"Glastonbury","0900331240","2008-2012","Occupied","Percent","Housing Units",95.81
"Glastonbury","0900331240","2008-2012","Occupied","Percent","Margins of Error",3.16
"Glastonbury","0900331240","2009-2013","Total","Number","Housing Units",13546
"Glastonbury","0900331240","2009-2013","Total","Number","Margins of Error",286
"Glastonbury","0900331240","2009-2013","Vacant","Number","Housing Units",514
"Glastonbury","0900331240","2009-2013","Vacant","Number","Margins of Error",194
"Glastonbury","0900331240","2009-2013","Vacant","Percent","Housing Units",3.79
"Glastonbury","0900331240","2009-2013","Vacant","Percent","Margins of Error",1.43
"Glastonbury","0900331240","2009-2013","Occupied","Number","Housing Units",13032
"Glastonbury","0900331240","2009-2013","Occupied","Number","Margins of Error",295
"Glastonbury","0900331240","2009-2013","Occupied","Percent","Housing Units",96.21
"Glastonbury","0900331240","2009-2013","Occupied","Percent","Margins of Error",2.98
"Glastonbury","0900331240","2010-2014","Total","Number","Housing Units",13665
"Glastonbury","0900331240","2010-2014","Total","Number","Margins of Error",271
"Glastonbury","0900331240","2010-2014","Vacant","Number","Housing Units",513
"Glastonbury","0900331240","2010-2014","Vacant","Number","Margins of Error",185
"Glastonbury","0900331240","2010-2014","Vacant","Percent","Housing Units",3.75
"Glastonbury","0900331240","2010-2014","Vacant","Percent","Margins of Error",1.36
"Glastonbury","0900331240","2010-2014","Occupied","Number","Housing Units",13152
"Glastonbury","0900331240","2010-2014","Occupied","Number","Margins of Error",261
"Glastonbury","0900331240","2010-2014","Occupied","Percent","Housing Units",96.25
"Glastonbury","0900331240","2010-2014","Occupied","Percent","Margins of Error",2.7
"Glastonbury","0900331240","2011-2015","Total","Number","Housing Units",13722
"Glastonbury","0900331240","2011-2015","Total","Number","Margins of Error",300
"Glastonbury","0900331240","2011-2015","Vacant","Number","Housing Units",601
"Glastonbury","0900331240","2011-2015","Vacant","Number","Margins of Error",192
"Glastonbury","0900331240","2011-2015","Vacant","Percent","Housing Units",4.38
"Glastonbury","0900331240","2011-2015","Vacant","Percent","Margins of Error",1.4
"Glastonbury","0900331240","2011-2015","Occupied","Number","Housing Units",13121
"Glastonbury","0900331240","2011-2015","Occupied","Number","Margins of Error",274
"Glastonbury","0900331240","2011-2015","Occupied","Percent","Housing Units",95.62
"Glastonbury","0900331240","2011-2015","Occupied","Percent","Margins of Error",2.89
"Glastonbury","0900331240","2012-2016","Total","Number","Housing Units",13801
"Glastonbury","0900331240","2012-2016","Total","Number","Margins of Error",267
"Glastonbury","0900331240","2012-2016","Vacant","Number","Housing Units",469
"Glastonbury","0900331240","2012-2016","Vacant","Number","Margins of Error",198
"Glastonbury","0900331240","2012-2016","Vacant","Percent","Housing Units",3.4
"Glastonbury","0900331240","2012-2016","Vacant","Percent","Margins of Error",1.44
"Glastonbury","0900331240","2012-2016","Occupied","Number","Housing Units",13332
"Glastonbury","0900331240","2012-2016","Occupied","Number","Margins of Error",250
"Glastonbury","0900331240","2012-2016","Occupied","Percent","Housing Units",96.6
"Glastonbury","0900331240","2012-2016","Occupied","Percent","Margins of Error",2.6
"Glastonbury","0900331240","2013-2017","Total","Number","Housing Units",14045
"Glastonbury","0900331240","2013-2017","Total","Number","Margins of Error",277
"Glastonbury","0900331240","2013-2017","Vacant","Number","Housing Units",458
"Glastonbury","0900331240","2013-2017","Vacant","Number","Margins of Error",159
"Glastonbury","0900331240","2013-2017","Vacant","Percent","Housing Units",3.26
"Glastonbury","0900331240","2013-2017","Vacant","Percent","Margins of Error",1.13
"Glastonbury","0900331240","2013-2017","Occupied","Number","Housing Units",13587
"Glastonbury","0900331240","2013-2017","Occupied","Number","Margins of Error",281
"Glastonbury","0900331240","2013-2017","Occupied","Percent","Housing Units",96.74
"Glastonbury","0900331240","2013-2017","Occupied","Percent","Margins of Error",2.76
"Glastonbury","0900331240","2014-2018","Total","Number","Housing Units",14086
"Glastonbury","0900331240","2014-2018","Total","Number","Margins of Error",262
"Glastonbury","0900331240","2014-2018","Vacant","Number","Housing Units",524
"Glastonbury","0900331240","2014-2018","Vacant","Number","Margins of Error",142
"Glastonbury","0900331240","2014-2018","Vacant","Percent","Housing Units",3.72
"Glastonbury","0900331240","2014-2018","Vacant","Percent","Margins of Error",1.01
"Glastonbury","0900331240","2014-2018","Occupied","Number","Housing Units",13562
"Glastonbury","0900331240","2014-2018","Occupied","Number","Margins of Error",240
"Glastonbury","0900331240","2014-2018","Occupied","Percent","Housing Units",96.28
"Glastonbury","0900331240","2014-2018","Occupied","Percent","Margins of Error",2.47
"Goshen","0900532290","2006-2010","Total","Number","Housing Units",1597
"Goshen","0900532290","2006-2010","Total","Number","Margins of Error",107
"Goshen","0900532290","2006-2010","Vacant","Number","Housing Units",374
"Goshen","0900532290","2006-2010","Vacant","Number","Margins of Error",81
"Goshen","0900532290","2006-2010","Vacant","Percent","Housing Units",23.42
"Goshen","0900532290","2006-2010","Vacant","Percent","Margins of Error",5.31
"Goshen","0900532290","2006-2010","Occupied","Number","Housing Units",1223
"Goshen","0900532290","2006-2010","Occupied","Number","Margins of Error",86
"Goshen","0900532290","2006-2010","Occupied","Percent","Housing Units",76.58
"Goshen","0900532290","2006-2010","Occupied","Percent","Margins of Error",7.44
"Goshen","0900532290","2007-2011","Total","Number","Housing Units",1609
"Goshen","0900532290","2007-2011","Total","Number","Margins of Error",121
"Goshen","0900532290","2007-2011","Vacant","Number","Housing Units",362
"Goshen","0900532290","2007-2011","Vacant","Number","Margins of Error",88
"Goshen","0900532290","2007-2011","Vacant","Percent","Housing Units",22.5
"Goshen","0900532290","2007-2011","Vacant","Percent","Margins of Error",5.72
"Goshen","0900532290","2007-2011","Occupied","Number","Housing Units",1247
"Goshen","0900532290","2007-2011","Occupied","Number","Margins of Error",92
"Goshen","0900532290","2007-2011","Occupied","Percent","Housing Units",77.5
"Goshen","0900532290","2007-2011","Occupied","Percent","Margins of Error",8.16
"Goshen","0900532290","2008-2012","Total","Number","Housing Units",1656
"Goshen","0900532290","2008-2012","Total","Number","Margins of Error",133
"Goshen","0900532290","2008-2012","Vacant","Number","Housing Units",368
"Goshen","0900532290","2008-2012","Vacant","Number","Margins of Error",81
"Goshen","0900532290","2008-2012","Vacant","Percent","Housing Units",22.22
"Goshen","0900532290","2008-2012","Vacant","Percent","Margins of Error",5.21
"Goshen","0900532290","2008-2012","Occupied","Number","Housing Units",1288
"Goshen","0900532290","2008-2012","Occupied","Number","Margins of Error",109
"Goshen","0900532290","2008-2012","Occupied","Percent","Housing Units",77.78
"Goshen","0900532290","2008-2012","Occupied","Percent","Margins of Error",9.07
"Goshen","0900532290","2009-2013","Total","Number","Housing Units",1679
"Goshen","0900532290","2009-2013","Total","Number","Margins of Error",122
"Goshen","0900532290","2009-2013","Vacant","Number","Housing Units",454
"Goshen","0900532290","2009-2013","Vacant","Number","Margins of Error",88
"Goshen","0900532290","2009-2013","Vacant","Percent","Housing Units",27.04
"Goshen","0900532290","2009-2013","Vacant","Percent","Margins of Error",5.6
"Goshen","0900532290","2009-2013","Occupied","Number","Housing Units",1225
"Goshen","0900532290","2009-2013","Occupied","Number","Margins of Error",97
"Goshen","0900532290","2009-2013","Occupied","Percent","Housing Units",72.96
"Goshen","0900532290","2009-2013","Occupied","Percent","Margins of Error",7.84
"Goshen","0900532290","2010-2014","Total","Number","Housing Units",1694
"Goshen","0900532290","2010-2014","Total","Number","Margins of Error",138
"Goshen","0900532290","2010-2014","Vacant","Number","Housing Units",469
"Goshen","0900532290","2010-2014","Vacant","Number","Margins of Error",104
"Goshen","0900532290","2010-2014","Vacant","Percent","Housing Units",27.69
"Goshen","0900532290","2010-2014","Vacant","Percent","Margins of Error",6.54
"Goshen","0900532290","2010-2014","Occupied","Number","Housing Units",1225
"Goshen","0900532290","2010-2014","Occupied","Number","Margins of Error",101
"Goshen","0900532290","2010-2014","Occupied","Percent","Housing Units",72.31
"Goshen","0900532290","2010-2014","Occupied","Percent","Margins of Error",8.38
"Goshen","0900532290","2011-2015","Total","Number","Housing Units",1633
"Goshen","0900532290","2011-2015","Total","Number","Margins of Error",142
"Goshen","0900532290","2011-2015","Vacant","Number","Housing Units",474
"Goshen","0900532290","2011-2015","Vacant","Number","Margins of Error",116
"Goshen","0900532290","2011-2015","Vacant","Percent","Housing Units",29.03
"Goshen","0900532290","2011-2015","Vacant","Percent","Margins of Error",7.54
"Goshen","0900532290","2011-2015","Occupied","Number","Housing Units",1159
"Goshen","0900532290","2011-2015","Occupied","Number","Margins of Error",87
"Goshen","0900532290","2011-2015","Occupied","Percent","Housing Units",70.97
"Goshen","0900532290","2011-2015","Occupied","Percent","Margins of Error",8.15
"Goshen","0900532290","2012-2016","Total","Number","Housing Units",1674
"Goshen","0900532290","2012-2016","Total","Number","Margins of Error",121
"Goshen","0900532290","2012-2016","Vacant","Number","Housing Units",605
"Goshen","0900532290","2012-2016","Vacant","Number","Margins of Error",95
"Goshen","0900532290","2012-2016","Vacant","Percent","Housing Units",36.14
"Goshen","0900532290","2012-2016","Vacant","Percent","Margins of Error",6.25
"Goshen","0900532290","2012-2016","Occupied","Number","Housing Units",1069
"Goshen","0900532290","2012-2016","Occupied","Number","Margins of Error",81
"Goshen","0900532290","2012-2016","Occupied","Percent","Housing Units",63.86
"Goshen","0900532290","2012-2016","Occupied","Percent","Margins of Error",6.69
"Goshen","0900532290","2013-2017","Total","Number","Housing Units",1652
"Goshen","0900532290","2013-2017","Total","Number","Margins of Error",126
"Goshen","0900532290","2013-2017","Vacant","Number","Housing Units",566
"Goshen","0900532290","2013-2017","Vacant","Number","Margins of Error",106
"Goshen","0900532290","2013-2017","Vacant","Percent","Housing Units",34.26
"Goshen","0900532290","2013-2017","Vacant","Percent","Margins of Error",6.93
"Goshen","0900532290","2013-2017","Occupied","Number","Housing Units",1086
"Goshen","0900532290","2013-2017","Occupied","Number","Margins of Error",88
"Goshen","0900532290","2013-2017","Occupied","Percent","Housing Units",65.74
"Goshen","0900532290","2013-2017","Occupied","Percent","Margins of Error",7.32
"Goshen","0900532290","2014-2018","Total","Number","Housing Units",1500
"Goshen","0900532290","2014-2018","Total","Number","Margins of Error",115
"Goshen","0900532290","2014-2018","Vacant","Number","Housing Units",405
"Goshen","0900532290","2014-2018","Vacant","Number","Margins of Error",101
"Goshen","0900532290","2014-2018","Vacant","Percent","Housing Units",27
"Goshen","0900532290","2014-2018","Vacant","Percent","Margins of Error",7.04
"Goshen","0900532290","2014-2018","Occupied","Number","Housing Units",1095
"Goshen","0900532290","2014-2018","Occupied","Number","Margins of Error",82
"Goshen","0900532290","2014-2018","Occupied","Percent","Housing Units",73
"Goshen","0900532290","2014-2018","Occupied","Percent","Margins of Error",7.82
"Granby","0900332640","2006-2010","Total","Number","Housing Units",4341
"Granby","0900332640","2006-2010","Total","Number","Margins of Error",145
"Granby","0900332640","2006-2010","Vacant","Number","Housing Units",53
"Granby","0900332640","2006-2010","Vacant","Number","Margins of Error",56
"Granby","0900332640","2006-2010","Vacant","Percent","Housing Units",1.22
"Granby","0900332640","2006-2010","Vacant","Percent","Margins of Error",1.29
"Granby","0900332640","2006-2010","Occupied","Number","Housing Units",4288
"Granby","0900332640","2006-2010","Occupied","Number","Margins of Error",135
"Granby","0900332640","2006-2010","Occupied","Percent","Housing Units",98.78
"Granby","0900332640","2006-2010","Occupied","Percent","Margins of Error",4.53
"Granby","0900332640","2007-2011","Total","Number","Housing Units",4370
"Granby","0900332640","2007-2011","Total","Number","Margins of Error",127
"Granby","0900332640","2007-2011","Vacant","Number","Housing Units",67
"Granby","0900332640","2007-2011","Vacant","Number","Margins of Error",51
"Granby","0900332640","2007-2011","Vacant","Percent","Housing Units",1.53
"Granby","0900332640","2007-2011","Vacant","Percent","Margins of Error",1.17
"Granby","0900332640","2007-2011","Occupied","Number","Housing Units",4303
"Granby","0900332640","2007-2011","Occupied","Number","Margins of Error",125
"Granby","0900332640","2007-2011","Occupied","Percent","Housing Units",98.47
"Granby","0900332640","2007-2011","Occupied","Percent","Margins of Error",4.05
"Granby","0900332640","2008-2012","Total","Number","Housing Units",4547
"Granby","0900332640","2008-2012","Total","Number","Margins of Error",153
"Granby","0900332640","2008-2012","Vacant","Number","Housing Units",108
"Granby","0900332640","2008-2012","Vacant","Number","Margins of Error",77
"Granby","0900332640","2008-2012","Vacant","Percent","Housing Units",2.38
"Granby","0900332640","2008-2012","Vacant","Percent","Margins of Error",1.7
"Granby","0900332640","2008-2012","Occupied","Number","Housing Units",4439
"Granby","0900332640","2008-2012","Occupied","Number","Margins of Error",146
"Granby","0900332640","2008-2012","Occupied","Percent","Housing Units",97.62
"Granby","0900332640","2008-2012","Occupied","Percent","Margins of Error",4.59
"Granby","0900332640","2009-2013","Total","Number","Housing Units",4595
"Granby","0900332640","2009-2013","Total","Number","Margins of Error",165
"Granby","0900332640","2009-2013","Vacant","Number","Housing Units",236
"Granby","0900332640","2009-2013","Vacant","Number","Margins of Error",129
"Granby","0900332640","2009-2013","Vacant","Percent","Housing Units",5.14
"Granby","0900332640","2009-2013","Vacant","Percent","Margins of Error",2.81
"Granby","0900332640","2009-2013","Occupied","Number","Housing Units",4359
"Granby","0900332640","2009-2013","Occupied","Number","Margins of Error",163
"Granby","0900332640","2009-2013","Occupied","Percent","Housing Units",94.86
"Granby","0900332640","2009-2013","Occupied","Percent","Margins of Error",4.92
"Granby","0900332640","2010-2014","Total","Number","Housing Units",4689
"Granby","0900332640","2010-2014","Total","Number","Margins of Error",195
"Granby","0900332640","2010-2014","Vacant","Number","Housing Units",280
"Granby","0900332640","2010-2014","Vacant","Number","Margins of Error",170
"Granby","0900332640","2010-2014","Vacant","Percent","Housing Units",5.97
"Granby","0900332640","2010-2014","Vacant","Percent","Margins of Error",3.63
"Granby","0900332640","2010-2014","Occupied","Number","Housing Units",4409
"Granby","0900332640","2010-2014","Occupied","Number","Margins of Error",170
"Granby","0900332640","2010-2014","Occupied","Percent","Housing Units",94.03
"Granby","0900332640","2010-2014","Occupied","Percent","Margins of Error",5.33
"Granby","0900332640","2011-2015","Total","Number","Housing Units",4597
"Granby","0900332640","2011-2015","Total","Number","Margins of Error",175
"Granby","0900332640","2011-2015","Vacant","Number","Housing Units",339
"Granby","0900332640","2011-2015","Vacant","Number","Margins of Error",123
"Granby","0900332640","2011-2015","Vacant","Percent","Housing Units",7.37
"Granby","0900332640","2011-2015","Vacant","Percent","Margins of Error",2.69
"Granby","0900332640","2011-2015","Occupied","Number","Housing Units",4258
"Granby","0900332640","2011-2015","Occupied","Number","Margins of Error",150
"Granby","0900332640","2011-2015","Occupied","Percent","Housing Units",92.63
"Granby","0900332640","2011-2015","Occupied","Percent","Margins of Error",4.8
"Granby","0900332640","2012-2016","Total","Number","Housing Units",4556
"Granby","0900332640","2012-2016","Total","Number","Margins of Error",147
"Granby","0900332640","2012-2016","Vacant","Number","Housing Units",333
"Granby","0900332640","2012-2016","Vacant","Number","Margins of Error",141
"Granby","0900332640","2012-2016","Vacant","Percent","Housing Units",7.31
"Granby","0900332640","2012-2016","Vacant","Percent","Margins of Error",3.1
"Granby","0900332640","2012-2016","Occupied","Number","Housing Units",4223
"Granby","0900332640","2012-2016","Occupied","Number","Margins of Error",142
"Granby","0900332640","2012-2016","Occupied","Percent","Housing Units",92.69
"Granby","0900332640","2012-2016","Occupied","Percent","Margins of Error",4.32
"Granby","0900332640","2013-2017","Total","Number","Housing Units",4593
"Granby","0900332640","2013-2017","Total","Number","Margins of Error",155
"Granby","0900332640","2013-2017","Vacant","Number","Housing Units",313
"Granby","0900332640","2013-2017","Vacant","Number","Margins of Error",119
"Granby","0900332640","2013-2017","Vacant","Percent","Housing Units",6.81
"Granby","0900332640","2013-2017","Vacant","Percent","Margins of Error",2.6
"Granby","0900332640","2013-2017","Occupied","Number","Housing Units",4280
"Granby","0900332640","2013-2017","Occupied","Number","Margins of Error",142
"Granby","0900332640","2013-2017","Occupied","Percent","Housing Units",93.19
"Granby","0900332640","2013-2017","Occupied","Percent","Margins of Error",4.41
"Granby","0900332640","2014-2018","Total","Number","Housing Units",4475
"Granby","0900332640","2014-2018","Total","Number","Margins of Error",166
"Granby","0900332640","2014-2018","Vacant","Number","Housing Units",282
"Granby","0900332640","2014-2018","Vacant","Number","Margins of Error",132
"Granby","0900332640","2014-2018","Vacant","Percent","Housing Units",6.3
"Granby","0900332640","2014-2018","Vacant","Percent","Margins of Error",2.96
"Granby","0900332640","2014-2018","Occupied","Number","Housing Units",4193
"Granby","0900332640","2014-2018","Occupied","Number","Margins of Error",142
"Granby","0900332640","2014-2018","Occupied","Percent","Housing Units",93.7
"Granby","0900332640","2014-2018","Occupied","Percent","Margins of Error",4.71
"Greenwich","0900133620","2006-2010","Total","Number","Housing Units",24551
"Greenwich","0900133620","2006-2010","Total","Number","Margins of Error",566
"Greenwich","0900133620","2006-2010","Vacant","Number","Housing Units",2068
"Greenwich","0900133620","2006-2010","Vacant","Number","Margins of Error",305
"Greenwich","0900133620","2006-2010","Vacant","Percent","Housing Units",8.42
"Greenwich","0900133620","2006-2010","Vacant","Percent","Margins of Error",1.26
"Greenwich","0900133620","2006-2010","Occupied","Number","Housing Units",22483
"Greenwich","0900133620","2006-2010","Occupied","Number","Margins of Error",443
"Greenwich","0900133620","2006-2010","Occupied","Percent","Housing Units",91.58
"Greenwich","0900133620","2006-2010","Occupied","Percent","Margins of Error",2.78
"Greenwich","0900133620","2007-2011","Total","Number","Housing Units",24417
"Greenwich","0900133620","2007-2011","Total","Number","Margins of Error",536
"Greenwich","0900133620","2007-2011","Vacant","Number","Housing Units",2168
"Greenwich","0900133620","2007-2011","Vacant","Number","Margins of Error",327
"Greenwich","0900133620","2007-2011","Vacant","Percent","Housing Units",8.88
"Greenwich","0900133620","2007-2011","Vacant","Percent","Margins of Error",1.35
"Greenwich","0900133620","2007-2011","Occupied","Number","Housing Units",22249
"Greenwich","0900133620","2007-2011","Occupied","Number","Margins of Error",471
"Greenwich","0900133620","2007-2011","Occupied","Percent","Housing Units",91.12
"Greenwich","0900133620","2007-2011","Occupied","Percent","Margins of Error",2.78
"Greenwich","0900133620","2008-2012","Total","Number","Housing Units",24174
"Greenwich","0900133620","2008-2012","Total","Number","Margins of Error",460
"Greenwich","0900133620","2008-2012","Vacant","Number","Housing Units",1965
"Greenwich","0900133620","2008-2012","Vacant","Number","Margins of Error",336
"Greenwich","0900133620","2008-2012","Vacant","Percent","Housing Units",8.13
